api,category,doc
add_prefix,Reindexing / selection / label manipulation,Prefix labels with string prefix.
add_suffix,Reindexing / selection / label manipulation,Suffix labels with string suffix.
align,Reindexing / selection / label manipulation,Align two objects on their axes with the specified join method.
at_time,Reindexing / selection / label manipulation,Select values at particular time of day (e.g.  9:30AM).
between_time,Reindexing / selection / label manipulation,Select values between particular times of the day (e.g.  9:00-9:30 AM).
drop,Reindexing / selection / label manipulation,Drop specified labels from rows or columns.
drop_duplicates,Reindexing / selection / label manipulation,Return DataFrame with duplicate rows removed.
duplicated,Reindexing / selection / label manipulation,Return boolean Series denoting duplicate rows.
equals,Reindexing / selection / label manipulation,Test whether two objects contain the same elements.
filter,Reindexing / selection / label manipulation,Subset the dataframe rows or columns according to the specified index labels.
first,Reindexing / selection / label manipulation,Select initial periods of time series data based on a date offset.
head,Reindexing / selection / label manipulation,Return the first n rows.
idxmax,Reindexing / selection / label manipulation,Return index of first occurrence of maximum over requested axis.
idxmin,Reindexing / selection / label manipulation,Return index of first occurrence of minimum over requested axis.
last,Reindexing / selection / label manipulation,Select final periods of time series data based on a date offset.
reindex,Reindexing / selection / label manipulation,Conform Series/DataFrame to new index with optional filling logic.
reindex_like,Reindexing / selection / label manipulation,Return an object with matching indices as other object.
rename,Reindexing / selection / label manipulation,Alter axes labels.
rename_axis,Reindexing / selection / label manipulation,Set the name of the axis for the index or columns.
reset_index,Reindexing / selection / label manipulation,Reset the index  or a level of it.
sample,Reindexing / selection / label manipulation,Return a random sample of items from an axis of object.
set_axis,Reindexing / selection / label manipulation,Assign desired index to given axis.
set_index,Reindexing / selection / label manipulation,Set the DataFrame index using existing columns.
tail,Reindexing / selection / label manipulation,Return the last n rows.
take,Reindexing / selection / label manipulation,Return the elements in the given positional indices along an axis.
truncate,Reindexing / selection / label manipulation,Truncate a Series or DataFrame before and after some index value.
backfill,Missing data handling,Synonym for DataFrame.fillna() with method='bfill'.
bfill,Missing data handling,Synonym for DataFrame.fillna() with method='bfill'.
dropna,Missing data handling,Remove missing values.
ffill,Missing data handling,Synonym for DataFrame.fillna() with method='ffill'.
fillna,Missing data handling,Fill NA/NaN values using the specified method.
interpolate,Missing data handling,Fill NaN values using an interpolation method.
isna,Missing data handling,Detect missing values.
isnull,Missing data handling,Detect missing values.
notna,Missing data handling,Detect existing (non-missing) values.
notnull,Missing data handling,Detect existing (non-missing) values.
pad,Missing data handling,Synonym for DataFrame.fillna() with method='ffill'.
replace,Missing data handling,Replace values given in to_replace with value.
droplevel,Reshaping  sorting  transposing,Return Series/DataFrame with requested index / column level(s) removed.
pivot,Reshaping  sorting  transposing,Return reshaped DataFrame organized by given index / column values.
pivot_table,Reshaping  sorting  transposing,Create a spreadsheet-style pivot table as a DataFrame.
reorder_levels,Reshaping  sorting  transposing,Rearrange index levels using input order.
sort_values,Reshaping  sorting  transposing,Sort by the values along either axis.
sort_index,Reshaping  sorting  transposing,Sort object by labels (along an axis).
nlargest,Reshaping  sorting  transposing,Return the first n rows ordered by columns in descending order.
nsmallest,Reshaping  sorting  transposing,Return the first n rows ordered by columns in ascending order.
swaplevel,Reshaping  sorting  transposing,Swap levels i and j in a MultiIndex.
stack,Reshaping  sorting  transposing,Stack the prescribed level(s) from columns to index.
unstack,Reshaping  sorting  transposing,Pivot a level of the (necessarily hierarchical) index labels.
swapaxes,Reshaping  sorting  transposing,Interchange axes and swap values axes appropriately.
melt,Reshaping  sorting  transposing,Unpivot a DataFrame from wide to long format  optionally leaving identifiers set.
explode,Reshaping  sorting  transposing,Transform each element of a list-like to a row  replicating index values.
squeeze,Reshaping  sorting  transposing,Squeeze 1 dimensional axis objects into scalars.
to_xarray,Reshaping  sorting  transposing,Return an xarray object from the pandas object.
transpose,Reshaping  sorting  transposing,Transpose index and columns.
append,Combining / comparing / joining / merging,Append rows of other to the end of caller  returning a new object.
assign,Combining / comparing / joining / merging,Assign new columns to a DataFrame.
compare,Combining / comparing / joining / merging,Compare to another DataFrame and show the differences.
join,Combining / comparing / joining / merging,Join columns of another DataFrame.
merge,Combining / comparing / joining / merging,Merge DataFrame or named Series objects with a database-style join.
update,Combining / comparing / joining / merging,Modify in place using non-NA values from another DataFrame.
asfreq,Time Series-related,Convert time series to specified frequency.
asof,Time Series-related,Return the last row(s) without any NaNs before where.
shift,Time Series-related,Shift index by desired number of periods with an optional time freq.
slice_shift,Time Series-related,(DEPRECATED) Equivalent to shift without copying data.
tshift,Time Series-related,(DEPRECATED) Shift the time index  using the indexs frequency if available.
first_valid_index,Time Series-related,Return index for first non-NA value or None  if no NA value is found.
last_valid_index,Time Series-related,Return index for last non-NA value or None  if no NA value is found.
resample,Time Series-related,Resample time-series data.
to_period,Time Series-related,Convert DataFrame from DatetimeIndex to PeriodIndex.
to_timestamp,Time Series-related,Cast to DatetimeIndex of timestamps  at beginning of period.
tz_convert,Time Series-related,Convert tz-aware axis to target time zone.
tz_localize,Time Series-related,Localize tz-naive index of a Series or DataFrame to target time zone.
Flags,Flags,Flags that apply to pandas objects.
attrs,Metadata,Dictionary of global attributes of this dataset.
plot,Plotting,DataFrame plotting accessor and method
plot.area,Plotting,Draw a stacked area plot.
plot.bar,Plotting,Vertical bar plot.
plot.barh,Plotting,Make a horizontal bar plot.
plot.box,Plotting,Make a box plot of the DataFrame columns.
plot.density,Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.
plot.hexbin,Plotting,Generate a hexagonal binning plot.
plot.hist,Plotting,Draw one histogram of the DataFrames columns.
plot.kde,Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.
plot.line,Plotting,Plot Series or DataFrame as lines.
plot.pie,Plotting,Generate a pie plot.
plot.scatter,Plotting,Create a scatter plot with varying marker point size and color.
boxplot,Plotting,Make a box plot from DataFrame columns.
hist,Plotting,Make a histogram of the DataFrames columns.
sparse.density,Sparse accessor,Ratio of non-sparse points to total (dense) data points.
sparse.from_spmatrix,Sparse accessor,Create a new DataFrame from a scipy sparse matrix.
sparse.to_coo,Sparse accessor,Return the contents of the frame as a sparse SciPy COO matrix.
sparse.to_dense,Sparse accessor,Convert a DataFrame with sparse values to dense.
from_dict,Serialization / IO / conversion,Construct DataFrame from dict of array-like or dicts.
from_records,Serialization / IO / conversion,Convert structured or record ndarray to DataFrame.
to_parquet,Serialization / IO / conversion,Write a DataFrame to the binary parquet format.
to_pickle,Serialization / IO / conversion,Pickle (serialize) object to file.
to_csv,Serialization / IO / conversion,Write object to a comma-separated values (csv) file.
to_hdf,Serialization / IO / conversion,Write the contained data to an HDF5 file using HDFStore.
to_sql,Serialization / IO / conversion,Write records stored in a DataFrame to a SQL database.
to_dict,Serialization / IO / conversion,Convert the DataFrame to a dictionary.
to_excel,Serialization / IO / conversion,Write object to an Excel sheet.
to_json,Serialization / IO / conversion,Convert the object to a JSON string.
to_html,Serialization / IO / conversion,Render a DataFrame as an HTML table.
to_feather,Serialization / IO / conversion,Write a DataFrame to the binary Feather format.
to_latex,Serialization / IO / conversion,Render object to a LaTeX tabular  longtable  or nested table/tabular.
to_stata,Serialization / IO / conversion,Export DataFrame object to Stata dta format.
to_gbq,Serialization / IO / conversion,Write a DataFrame to a Google BigQuery table.
to_records,Serialization / IO / conversion,Convert DataFrame to a NumPy record array.
to_string,Serialization / IO / conversion,Render a DataFrame to a console-friendly tabular output.
to_clipboard,Serialization / IO / conversion,Copy object to the system clipboard.
to_markdown,Serialization / IO / conversion,Print DataFrame in Markdown-friendly format.
style,Serialization / IO / conversion,Returns a Styler object.
