api,category,doc
notnull,Top-level missing data,Detect non-missing values for an array-like object.
to_numeric,Top-level conversions,Convert argument to a numeric type.
to_datetime,Top-level dealing with datetimelike,Convert argument to datetime.
to_timedelta,Top-level dealing with datetimelike,Convert argument to timedelta.
date_range,Top-level dealing with datetimelike,Return a fixed frequency DatetimeIndex.
bdate_range,Top-level dealing with datetimelike,Return a fixed frequency DatetimeIndex  with business day as the default frequency.
period_range,Top-level dealing with datetimelike,Return a fixed frequency PeriodIndex.
timedelta_range,Top-level dealing with datetimelike,Return a fixed frequency TimedeltaIndex  with day as the default frequency.
infer_freq,Top-level dealing with datetimelike,Infer the most likely frequency given the input index.
interval_range,Top-level dealing with intervals,Return a fixed frequency IntervalIndex.
eval,Top-level evaluation,Evaluate a Python expression as a string using various backends.
hash_array,Hashing,Given a 1d array  return an array of deterministic integers.
hash_pandas_object,Hashing,Return a data hash of the Index/Series/DataFrame.
Series,Constructor,One-dimensional ndarray with axis labels (including time series).
index,Attributes,The index (axis labels) of the Series.
array,Attributes,The ExtensionArray of the data backing this Series or Index.
values,Attributes,Return Series as ndarray or ndarray-like depending on the dtype.
dtype,Attributes,Return the dtype object of the underlying data.
shape,Attributes,Return a tuple of the shape of the underlying data.
nbytes,Attributes,Return the number of bytes in the underlying data.
ndim,Attributes,Number of dimensions of the underlying data  by definition 1.
size,Attributes,Return the number of elements in the underlying data.
T,Attributes,Return the transpose  which is by definition self.
memory_usage,Attributes,Return the memory usage of the Series.
hasnans,Attributes,Return if I have any nans; enables various perf speedups.
empty,Attributes,Indicator whether DataFrame is empty.
dtypes,Attributes,Return the dtype object of the underlying data.
name,Attributes,Return the name of the Series.
flags,Attributes,Get the properties associated with this pandas object.
set_flags,Attributes,Return a new object with updated flags.
astype,Conversion,Cast a pandas object to a specified dtype dtype.
convert_dtypes,Conversion,Convert columns to best possible dtypes using dtypes supporting pd.NA.
infer_objects,Conversion,Attempt to infer better dtypes for object columns.
copy,Conversion,Make a copy of this objects indices and data.
bool,Conversion,Return the bool of a single element Series or DataFrame.
to_numpy,Conversion,A NumPy ndarray representing the values in this Series or Index.
to_period,Conversion,Convert Series from DatetimeIndex to PeriodIndex.
to_timestamp,Conversion,Cast to DatetimeIndex of Timestamps  at beginning of period.
to_list,Conversion,Return a list of the values.
__array__,Conversion,Return the values as a NumPy array.
get,Indexing  iteration,Get item from object for given key (ex: DataFrame column).
at,Indexing  iteration,Access a single value for a row/column label pair.
iat,Indexing  iteration,Access a single value for a row/column pair by integer position.
loc,Indexing  iteration,Access a group of rows and columns by label(s) or a boolean array.
iloc,Indexing  iteration,Purely integer-location based indexing for selection by position.
__iter__,Indexing  iteration,Return an iterator of the values.
items,Indexing  iteration,Lazily iterate over (index  value) tuples.
iteritems,Indexing  iteration,Lazily iterate over (index  value) tuples.
keys,Indexing  iteration,Return alias for index.
pop,Indexing  iteration,Return item and drops from series.
item,Indexing  iteration,Return the first element of the underlying data as a Python scalar.
xs,Indexing  iteration,Return cross-section from the Series/DataFrame.
add,Binary operator functions,Return Addition of series and other  element-wise (binary operator add).
sub,Binary operator functions,Return Subtraction of series and other  element-wise (binary operator sub).
mul,Binary operator functions,Return Multiplication of series and other  element-wise (binary operator mul).
div,Binary operator functions,Return Floating division of series and other  element-wise (binary operator truediv).
truediv,Binary operator functions,Return Floating division of series and other  element-wise (binary operator truediv).
floordiv,Binary operator functions,Return Integer division of series and other  element-wise (binary operator floordiv).
mod,Binary operator functions,Return Modulo of series and other  element-wise (binary operator mod).
pow,Binary operator functions,Return Exponential power of series and other  element-wise (binary operator pow).
radd,Binary operator functions,Return Addition of series and other  element-wise (binary operator radd).
rsub,Binary operator functions,Return Subtraction of series and other  element-wise (binary operator rsub).
rmul,Binary operator functions,Return Multiplication of series and other  element-wise (binary operator rmul).
rdiv,Binary operator functions,Return Floating division of series and other  element-wise (binary operator rtruediv).
rtruediv,Binary operator functions,Return Floating division of series and other  element-wise (binary operator rtruediv).
rfloordiv,Binary operator functions,Return Integer division of series and other  element-wise (binary operator rfloordiv).
rmod,Binary operator functions,Return Modulo of series and other  element-wise (binary operator rmod).
rpow,Binary operator functions,Return Exponential power of series and other  element-wise (binary operator rpow).
combine,Binary operator functions,Combine the Series with a Series or scalar according to func.
combine_first,Binary operator functions,Update null elements with value in the same location in other.
round,Binary operator functions,Round each value in a Series to the given number of decimals.
lt,Binary operator functions,Return Less than of series and other  element-wise (binary operator lt).
gt,Binary operator functions,Return Greater than of series and other  element-wise (binary operator gt).
le,Binary operator functions,Return Less than or equal to of series and other  element-wise (binary operator le).
ge,Binary operator functions,Return Greater than or equal to of series and other  element-wise (binary operator ge).
ne,Binary operator functions,Return Not equal to of series and other  element-wise (binary operator ne).
eq,Binary operator functions,Return Equal to of series and other  element-wise (binary operator eq).
product,Binary operator functions,Return the product of the values over the requested axis.
dot,Binary operator functions,Compute the dot product between the Series and the columns of other.
apply,Function application  GroupBy & window,Invoke function on values of Series.
agg,Function application  GroupBy & window,Aggregate using one or more operations over the specified axis.
aggregate,Function application  GroupBy & window,Aggregate using one or more operations over the specified axis.
transform,Function application  GroupBy & window,Call func on self producing a Series with transformed values.
map,Function application  GroupBy & window,Map values of Series according to input correspondence.
groupby,Function application  GroupBy & window,Group Series using a mapper or by a Series of columns.
rolling,Function application  GroupBy & window,Provide rolling window calculations.
expanding,Function application  GroupBy & window,Provide expanding transformations.
ewm,Function application  GroupBy & window,Provide exponential weighted (EW) functions.
pipe,Function application  GroupBy & window,Apply func(self  *args  **kwargs).
abs,Computations / descriptive stats,Return a Series/DataFrame with absolute numeric value of each element.
all,Computations / descriptive stats,Return whether all elements are True  potentially over an axis.
any,Computations / descriptive stats,Return whether any element is True  potentially over an axis.
autocorr,Computations / descriptive stats,Compute the lag-N autocorrelation.
between,Computations / descriptive stats,Return boolean Series equivalent to left <= series <= right.
clip,Computations / descriptive stats,Trim values at input threshold(s).
corr,Computations / descriptive stats,Compute correlation with other Series  excluding missing values.
count,Computations / descriptive stats,Return number of non-NA/null observations in the Series.
cov,Computations / descriptive stats,Compute covariance with Series  excluding missing values.
cummax,Computations / descriptive stats,Return cumulative maximum over a DataFrame or Series axis.
cummin,Computations / descriptive stats,Return cumulative minimum over a DataFrame or Series axis.
cumprod,Computations / descriptive stats,Return cumulative product over a DataFrame or Series axis.
cumsum,Computations / descriptive stats,Return cumulative sum over a DataFrame or Series axis.
describe,Computations / descriptive stats,Generate descriptive statistics.
diff,Computations / descriptive stats,First discrete difference of element.
factorize,Computations / descriptive stats,Encode the object as an enumerated type or categorical variable.
kurt,Computations / descriptive stats,Return unbiased kurtosis over requested axis.
mad,Computations / descriptive stats,Return the mean absolute deviation of the values over the requested axis.
max,Computations / descriptive stats,Return the maximum of the values over the requested axis.
mean,Computations / descriptive stats,Return the mean of the values over the requested axis.
median,Computations / descriptive stats,Return the median of the values over the requested axis.
min,Computations / descriptive stats,Return the minimum of the values over the requested axis.
mode,Computations / descriptive stats,Return the mode(s) of the Series.
nlargest,Computations / descriptive stats,Return the largest n elements.
nsmallest,Computations / descriptive stats,Return the smallest n elements.
pct_change,Computations / descriptive stats,Percentage change between the current and a prior element.
prod,Computations / descriptive stats,Return the product of the values over the requested axis.
quantile,Computations / descriptive stats,Return value at the given quantile.
rank,Computations / descriptive stats,Compute numerical data ranks (1 through n) along axis.
sem,Computations / descriptive stats,Return unbiased standard error of the mean over requested axis.
skew,Computations / descriptive stats,Return unbiased skew over requested axis.
std,Computations / descriptive stats,Return sample standard deviation over requested axis.
sum,Computations / descriptive stats,Return the sum of the values over the requested axis.
var,Computations / descriptive stats,Return unbiased variance over requested axis.
kurtosis,Computations / descriptive stats,Return unbiased kurtosis over requested axis.
unique,Computations / descriptive stats,Return unique values of Series object.
nunique,Computations / descriptive stats,Return number of unique elements in the object.
is_unique,Computations / descriptive stats,Return boolean if values in the object are unique.
is_monotonic,Computations / descriptive stats,Return boolean if values in the object are monotonic_increasing.
is_monotonic_increasing,Computations / descriptive stats,Alias for is_monotonic.
is_monotonic_decreasing,Computations / descriptive stats,Return boolean if values in the object are monotonic_decreasing.
value_counts,Computations / descriptive stats,Return a Series containing counts of unique values.
align,Reindexing / selection / label manipulation,Align two objects on their axes with the specified join method.
drop,Reindexing / selection / label manipulation,Return Series with specified index labels removed.
droplevel,Reindexing / selection / label manipulation,Return Series/DataFrame with requested index / column level(s) removed.
drop_duplicates,Reindexing / selection / label manipulation,Return Series with duplicate values removed.
duplicated,Reindexing / selection / label manipulation,Indicate duplicate Series values.
equals,Reindexing / selection / label manipulation,Test whether two objects contain the same elements.
first,Reindexing / selection / label manipulation,Select initial periods of time series data based on a date offset.
head,Reindexing / selection / label manipulation,Return the first n rows.
idxmax,Reindexing / selection / label manipulation,Return the row label of the maximum value.
idxmin,Reindexing / selection / label manipulation,Return the row label of the minimum value.
isin,Reindexing / selection / label manipulation,Whether elements in Series are contained in values.
last,Reindexing / selection / label manipulation,Select final periods of time series data based on a date offset.
reindex,Reindexing / selection / label manipulation,Conform Series to new index with optional filling logic.
reindex_like,Reindexing / selection / label manipulation,Return an object with matching indices as other object.
rename,Reindexing / selection / label manipulation,Alter Series index labels or name.
rename_axis,Reindexing / selection / label manipulation,Set the name of the axis for the index or columns.
reset_index,Reindexing / selection / label manipulation,Generate a new DataFrame or Series with the index reset.
sample,Reindexing / selection / label manipulation,Return a random sample of items from an axis of object.
set_axis,Reindexing / selection / label manipulation,Assign desired index to given axis.
take,Reindexing / selection / label manipulation,Return the elements in the given positional indices along an axis.
tail,Reindexing / selection / label manipulation,Return the last n rows.
truncate,Reindexing / selection / label manipulation,Truncate a Series or DataFrame before and after some index value.
where,Reindexing / selection / label manipulation,Replace values where the condition is False.
mask,Reindexing / selection / label manipulation,Replace values where the condition is True.
add_prefix,Reindexing / selection / label manipulation,Prefix labels with string prefix.
add_suffix,Reindexing / selection / label manipulation,Suffix labels with string suffix.
filter,Reindexing / selection / label manipulation,Subset the dataframe rows or columns according to the specified index labels.
backfill,Missing data handling,Synonym for DataFrame.fillna() with method='bfill'.
bfill,Missing data handling,Synonym for DataFrame.fillna() with method='bfill'.
dropna,Missing data handling,Return a new Series with missing values removed.
ffill,Missing data handling,Synonym for DataFrame.fillna() with method='ffill'.
fillna,Missing data handling,Fill NA/NaN values using the specified method.
interpolate,Missing data handling,Fill NaN values using an interpolation method.
isna,Missing data handling,Detect missing values.
isnull,Missing data handling,Detect missing values.
notna,Missing data handling,Detect existing (non-missing) values.
notnull,Missing data handling,Detect existing (non-missing) values.
pad,Missing data handling,Synonym for DataFrame.fillna() with method='ffill'.
replace,Missing data handling,Replace values given in to_replace with value.
argsort,Reshaping  sorting,Return the integer indices that would sort the Series values.
argmin,Reshaping  sorting,Return int position of the smallest value in the Series.
argmax,Reshaping  sorting,Return int position of the largest value in the Series.
reorder_levels,Reshaping  sorting,Rearrange index levels using input order.
sort_values,Reshaping  sorting,Sort by the values.
sort_index,Reshaping  sorting,Sort Series by index labels.
swaplevel,Reshaping  sorting,Swap levels i and j in a MultiIndex.
unstack,Reshaping  sorting,Unstack  also known as pivot  Series with MultiIndex to produce DataFrame.
explode,Reshaping  sorting,Transform each element of a list-like to a row.
searchsorted,Reshaping  sorting,Find indices where elements should be inserted to maintain order.
ravel,Reshaping  sorting,Return the flattened underlying data as an ndarray.
repeat,Reshaping  sorting,Repeat elements of a Series.
squeeze,Reshaping  sorting,Squeeze 1 dimensional axis objects into scalars.
view,Reshaping  sorting,Create a new view of the Series.
append,Combining / comparing / joining / merging,Concatenate two or more Series.
compare,Combining / comparing / joining / merging,Compare to another Series and show the differences.
update,Combining / comparing / joining / merging,Modify Series in place using values from passed Series.
asfreq,Time Series-related,Convert time series to specified frequency.
asof,Time Series-related,Return the last row(s) without any NaNs before where.
shift,Time Series-related,Shift index by desired number of periods with an optional time freq.
first_valid_index,Time Series-related,Return index for first non-NA value or None  if no NA value is found.
last_valid_index,Time Series-related,Return index for last non-NA value or None  if no NA value is found.
resample,Time Series-related,Resample time-series data.
tz_convert,Time Series-related,Convert tz-aware axis to target time zone.
tz_localize,Time Series-related,Localize tz-naive index of a Series or DataFrame to target time zone.
at_time,Time Series-related,Select values at particular time of day (e.g.  9:30AM).
between_time,Time Series-related,Select values between particular times of the day (e.g.  9:00-9:30 AM).
tshift,Time Series-related,(DEPRECATED) Shift the time index  using the indexs frequency if available.
slice_shift,Time Series-related,(DEPRECATED) Equivalent to shift without copying data.
dt.date,Series,Returns numpy array of python datetime.date objects (namely  the date part of Timestamps without timezone information).
dt.time,Series,Returns numpy array of datetime.time.
dt.timetz,Series,Returns numpy array of datetime.time also containing timezone information.
dt.year,Series,The year of the datetime.
dt.month,Series,The month as January=1  December=12.
dt.day,Series,The day of the datetime.
dt.hour,Series,The hours of the datetime.
dt.minute,Series,The minutes of the datetime.
dt.second,Series,The seconds of the datetime.
dt.microsecond,Series,The microseconds of the datetime.
dt.nanosecond,Series,The nanoseconds of the datetime.
dt.week,Series,(DEPRECATED) The week ordinal of the year.
dt.weekofyear,Series,(DEPRECATED) The week ordinal of the year.
dt.dayofweek,Series,The day of the week with Monday=0  Sunday=6.
dt.day_of_week,Series,The day of the week with Monday=0  Sunday=6.
dt.weekday,Series,The day of the week with Monday=0  Sunday=6.
dt.dayofyear,Series,The ordinal day of the year.
dt.day_of_year,Series,The ordinal day of the year.
dt.quarter,Series,The quarter of the date.
dt.is_month_start,Series,Indicates whether the date is the first day of the month.
dt.is_month_end,Series,Indicates whether the date is the last day of the month.
dt.is_quarter_start,Series,Indicator for whether the date is the first day of a quarter.
dt.is_quarter_end,Series,Indicator for whether the date is the last day of a quarter.
dt.is_year_start,Series,Indicate whether the date is the first day of a year.
dt.is_year_end,Series,Indicate whether the date is the last day of the year.
dt.is_leap_year,Series,Boolean indicator if the date belongs to a leap year.
dt.daysinmonth,Series,The number of days in the month.
dt.days_in_month,Series,The number of days in the month.
dt.tz,Series,Return timezone  if any.
dt.freq,Series,Return the frequency object for this PeriodArray.
dt.to_period,Series,Cast to PeriodArray/Index at a particular frequency.
dt.to_pydatetime,Series,Return the data as an array of native Python datetime objects.
dt.tz_localize,Series,Localize tz-naive Datetime Array/Index to tz-aware Datetime Array/Index.
dt.tz_convert,Series,Convert tz-aware Datetime Array/Index from one time zone to another.
dt.normalize,Series,Convert times to midnight.
dt.strftime,Series,Convert to Index using specified date_format.
dt.round,Series,Perform round operation on the data to the specified freq.
dt.floor,Series,Perform floor operation on the data to the specified freq.
dt.ceil,Series,Perform ceil operation on the data to the specified freq.
dt.month_name,Series,Return the month names of the DateTimeIndex with specified locale.
dt.day_name,Series,Return the day names of the DateTimeIndex with specified locale.
dt.days,Series,Number of days for each element.
dt.seconds,Series,Number of seconds (>= 0 and less than 1 day) for each element.
dt.microseconds,Series,Number of microseconds (>= 0 and less than 1 second) for each element.
dt.nanoseconds,Series,Number of nanoseconds (>= 0 and less than 1 microsecond) for each element.
dt.components,Series,Return a Dataframe of the components of the Timedeltas.
dt.to_pytimedelta,Series,Return an array of native datetime.timedelta objects.
dt.total_seconds,Series,Return total duration of each element expressed in seconds.
str.capitalize,Series,Convert strings in the Series/Index to be capitalized.
str.casefold,Series,Convert strings in the Series/Index to be casefolded.
str.cat,Series,Concatenate strings in the Series/Index with given separator.
str.center,Series,Pad left and right side of strings in the Series/Index.
str.contains,Series,Test if pattern or regex is contained within a string of a Series or Index.
str.count,Series,Count occurrences of pattern in each string of the Series/Index.
str.decode,Series,Decode character string in the Series/Index using indicated encoding.
str.encode,Series,Encode character string in the Series/Index using indicated encoding.
str.endswith,Series,Test if the end of each string element matches a pattern.
str.extract,Series,Extract capture groups in the regex pat as columns in a DataFrame.
str.extractall,Series,Extract capture groups in the regex pat as columns in DataFrame.
str.find,Series,Return lowest indexes in each strings in the Series/Index.
str.findall,Series,Find all occurrences of pattern or regular expression in the Series/Index.
str.fullmatch,Series,Determine if each string entirely matches a regular expression.
str.get,Series,Extract element from each component at specified position.
str.index,Series,Return lowest indexes in each string in Series/Index.
str.join,Series,Join lists contained as elements in the Series/Index with passed delimiter.
str.len,Series,Compute the length of each element in the Series/Index.
str.ljust,Series,Pad right side of strings in the Series/Index.
str.lower,Series,Convert strings in the Series/Index to lowercase.
str.lstrip,Series,Remove leading characters.
str.match,Series,Determine if each string starts with a match of a regular expression.
str.normalize,Series,Return the Unicode normal form for the strings in the Series/Index.
str.pad,Series,Pad strings in the Series/Index up to width.
str.partition,Series,Split the string at the first occurrence of sep.
str.repeat,Series,Duplicate each string in the Series or Index.
str.replace,Series,Replace each occurrence of pattern/regex in the Series/Index.
str.rfind,Series,Return highest indexes in each strings in the Series/Index.
str.rindex,Series,Return highest indexes in each string in Series/Index.
str.rjust,Series,Pad left side of strings in the Series/Index.
str.rpartition,Series,Split the string at the last occurrence of sep.
str.rstrip,Series,Remove trailing characters.
str.slice,Series,Slice substrings from each element in the Series or Index.
str.slice_replace,Series,Replace a positional slice of a string with another value.
str.split,Series,Split strings around given separator/delimiter.
str.rsplit,Series,Split strings around given separator/delimiter.
str.startswith,Series,Test if the start of each string element matches a pattern.
str.strip,Series,Remove leading and trailing characters.
str.swapcase,Series,Convert strings in the Series/Index to be swapcased.
str.title,Series,Convert strings in the Series/Index to titlecase.
str.translate,Series,Map all characters in the string through the given mapping table.
str.upper,Series,Convert strings in the Series/Index to uppercase.
str.wrap,Series,Wrap strings in Series/Index at specified line width.
str.zfill,Series,Pad strings in the Series/Index by prepending 0 characters.
str.isalnum,Series,Check whether all characters in each string are alphanumeric.
str.isalpha,Series,Check whether all characters in each string are alphabetic.
str.isdigit,Series,Check whether all characters in each string are digits.
str.isspace,Series,Check whether all characters in each string are whitespace.
str.islower,Series,Check whether all characters in each string are lowercase.
str.isupper,Series,Check whether all characters in each string are uppercase.
str.istitle,Series,Check whether all characters in each string are titlecase.
str.isnumeric,Series,Check whether all characters in each string are numeric.
str.isdecimal,Series,Check whether all characters in each string are decimal.
str.get_dummies,Series,Return DataFrame of dummy/indicator variables for Series.
cat.categories,Series,The categories of this categorical.
cat.ordered,Series,Whether the categories have an ordered relationship.
cat.codes,Series,Return Series of codes as well as the index.
cat.rename_categories,Series,Rename categories.
cat.reorder_categories,Series,Reorder categories as specified in new_categories.
cat.add_categories,Series,Add new categories.
cat.remove_categories,Series,Remove the specified categories.
cat.remove_unused_categories,Series,Remove categories which are not used.
cat.set_categories,Series,Set the categories to the specified new_categories.
cat.as_ordered,Series,Set the Categorical to be ordered.
cat.as_unordered,Series,Set the Categorical to be unordered.
sparse.npoints,Series,The number of non- fill_value points.
sparse.density,Series,The percent of non- fill_value points  as decimal.
sparse.fill_value,Series,Elements in data that are fill_value are not stored.
sparse.sp_values,Series,An ndarray containing the non- fill_value values.
sparse.from_coo,Series,Create a Series with sparse values from a scipy.sparse.coo_matrix.
sparse.to_coo,Series,Create a scipy.sparse.coo_matrix from a Series with MultiIndex.
Flags,Series,Flags that apply to pandas objects.
attrs,Series,Dictionary of global attributes of this dataset.
plot,Plotting,Series plotting accessor and method
plot.area,Plotting,Draw a stacked area plot.
plot.bar,Plotting,Vertical bar plot.
plot.barh,Plotting,Make a horizontal bar plot.
plot.box,Plotting,Make a box plot of the DataFrame columns.
plot.density,Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.
plot.hist,Plotting,Draw one histogram of the DataFrames columns.
plot.kde,Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.
plot.line,Plotting,Plot Series or DataFrame as lines.
plot.pie,Plotting,Generate a pie plot.
hist,Plotting,Draw histogram of the input series using matplotlib.
to_pickle,Serialization / IO / conversion,Pickle (serialize) object to file.
to_csv,Serialization / IO / conversion,Write object to a comma-separated values (csv) file.
to_dict,Serialization / IO / conversion,Convert Series to {label -> value} dict or dict-like object.
to_excel,Serialization / IO / conversion,Write object to an Excel sheet.
to_frame,Serialization / IO / conversion,Convert Series to DataFrame.
to_xarray,Serialization / IO / conversion,Return an xarray object from the pandas object.
to_hdf,Serialization / IO / conversion,Write the contained data to an HDF5 file using HDFStore.
to_sql,Serialization / IO / conversion,Write records stored in a DataFrame to a SQL database.
to_json,Serialization / IO / conversion,Convert the object to a JSON string.
to_string,Serialization / IO / conversion,Render a string representation of the Series.
to_clipboard,Serialization / IO / conversion,Copy object to the system clipboard.
to_latex,Serialization / IO / conversion,Render object to a LaTeX tabular  longtable  or nested table/tabular.
to_markdown,Serialization / IO / conversion,Print Series in Markdown-friendly format.
DataFrame,Constructor,Two-dimensional  size-mutable  potentially heterogeneous tabular data.
index,Attributes and underlying data,The index (row labels) of the DataFrame.
columns,Attributes and underlying data,The column labels of the DataFrame.
dtypes,Attributes and underlying data,Return the dtypes in the DataFrame.
info,Attributes and underlying data,Print a concise summary of a DataFrame.
select_dtypes,Attributes and underlying data,Return a subset of the DataFrames columns based on the column dtypes.
values,Attributes and underlying data,Return a Numpy representation of the DataFrame.
axes,Attributes and underlying data,Return a list representing the axes of the DataFrame.
ndim,Attributes and underlying data,Return an int representing the number of axes / array dimensions.
size,Attributes and underlying data,Return an int representing the number of elements in this object.
shape,Attributes and underlying data,Return a tuple representing the dimensionality of the DataFrame.
memory_usage,Attributes and underlying data,Return the memory usage of each column in bytes.
empty,Attributes and underlying data,Indicator whether DataFrame is empty.
set_flags,Attributes and underlying data,Return a new object with updated flags.
astype,Conversion,Cast a pandas object to a specified dtype dtype.
convert_dtypes,Conversion,Convert columns to best possible dtypes using dtypes supporting pd.NA.
infer_objects,Conversion,Attempt to infer better dtypes for object columns.
copy,Conversion,Make a copy of this objects indices and data.
bool,Conversion,Return the bool of a single element Series or DataFrame.
head,Indexing  iteration,Return the first n rows.
at,Indexing  iteration,Access a single value for a row/column label pair.
iat,Indexing  iteration,Access a single value for a row/column pair by integer position.
loc,Indexing  iteration,Access a group of rows and columns by label(s) or a boolean array.
iloc,Indexing  iteration,Purely integer-location based indexing for selection by position.
insert,Indexing  iteration,Insert column into DataFrame at specified location.
__iter__,Indexing  iteration,Iterate over info axis.
items,Indexing  iteration,Iterate over (column name  Series) pairs.
iteritems,Indexing  iteration,Iterate over (column name  Series) pairs.
keys,Indexing  iteration,Get the info axis (see Indexing for more).
iterrows,Indexing  iteration,Iterate over DataFrame rows as (index  Series) pairs.
itertuples,Indexing  iteration,Iterate over DataFrame rows as namedtuples.
lookup,Indexing  iteration,(DEPRECATED) Label-based fancy indexing function for DataFrame.
pop,Indexing  iteration,Return item and drop from frame.
tail,Indexing  iteration,Return the last n rows.
xs,Indexing  iteration,Return cross-section from the Series/DataFrame.
get,Indexing  iteration,Get item from object for given key (ex: DataFrame column).
isin,Indexing  iteration,Whether each element in the DataFrame is contained in values.
where,Indexing  iteration,Replace values where the condition is False.
mask,Indexing  iteration,Replace values where the condition is True.
query,Indexing  iteration,Query the columns of a DataFrame with a boolean expression.
add,Binary operator functions,Get Addition of dataframe and other  element-wise (binary operator add).
sub,Binary operator functions,Get Subtraction of dataframe and other  element-wise (binary operator sub).
mul,Binary operator functions,Get Multiplication of dataframe and other  element-wise (binary operator mul).
div,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator truediv).
truediv,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator truediv).
floordiv,Binary operator functions,Get Integer division of dataframe and other  element-wise (binary operator floordiv).
mod,Binary operator functions,Get Modulo of dataframe and other  element-wise (binary operator mod).
pow,Binary operator functions,Get Exponential power of dataframe and other  element-wise (binary operator pow).
dot,Binary operator functions,Compute the matrix multiplication between the DataFrame and other.
radd,Binary operator functions,Get Addition of dataframe and other  element-wise (binary operator radd).
rsub,Binary operator functions,Get Subtraction of dataframe and other  element-wise (binary operator rsub).
rmul,Binary operator functions,Get Multiplication of dataframe and other  element-wise (binary operator rmul).
rdiv,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator rtruediv).
rtruediv,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator rtruediv).
